crmclia_ido,crmclia_cpf,crmclia_crmcli_ido,crmclia_nome,crmclia_datanascimento,crmclia_calce,crmclia_sexo,crmclia_email,crmclia_fone_ddd,crmclia_fone_numero,crmclia_cell_ddd,crmclia_cell_numero,crmclia_ender_logradouro,crmclia_ender_numero,crmclia_ender_complemento,crmclia_ender_cidade,crmclia_ender_cep,crmclia_dtins
5327220938,508.366.444-50,7acdca24-a8cb-4031-b881-77e81e39ae6f,David Patterson,1944-03-31,44,M,gstevenson@example.org,51,261-836-0262x06696,51,(549)823-6382x9694,Logradouro:Walters-Santiago,4448,Complemento: Pennington and Sons,Tinamouth,37553353,2024-04-25 15:00:22.488746
600045644,015.003.257-91,0692853b-8640-4b05-bda2-5ecdd4875978,Ryan Rodriguez,2004-07-24,44,M,rogersrobert@example.com,51,454.986.2605x10349,51,644.238.4146,Logradouro:Gibbs-Ward,1593,Complemento: Davis-Burton,South Patriciaville,85909021,2024-04-25 15:00:22.489441
9386744278,546.812.705-98,4dc26cb1-4f99-4e9c-99e2-a05e71944aee,Derrick Miller,1934-04-21,44,M,ramseyrebecca@example.net,51,(478)649-5998x1673,51,(958)662-0479x0330,"Logradouro:Payne, Olsen and Richardson",773,"Complemento: Johnson, Brown and Moss",West Emma,75875598,2024-04-25 15:00:22.490284
6258717570,133.376.605-09,560759b4-4475-4d40-819f-3fb3a3be9174,Jeanette Harris,1940-12-15,44,M,savannahwest@example.org,51,8047275606,51,(912)913-2785x2962,"Logradouro:Cruz, Lee and Davis",907,Complemento: Robinson Inc,Lake Jonathanside,13563878,2024-04-25 15:00:22.490968
8815682301,673.129.434-97,a3ea5991-f1cf-4724-8083-eae07f775447,Charles Hall,1922-05-20,44,M,kimberlyreese@example.net,51,739-780-4447x57336,51,+1-571-951-6251,Logradouro:Adams-Chavez,1573,Complemento: Nelson Inc,Loganmouth,63501370,2024-04-25 15:00:22.491596
7625173299,648.435.250-06,02d55a52-b296-49c1-82db-b831819cea0c,Christie Ross,1936-04-07,44,M,timothy07@example.com,51,419-693-9691x11465,51,(765)621-5283x363,Logradouro:Pace-Roberson,2196,Complemento: Daniels Inc,Thomasberg,39131875,2024-04-25 15:00:22.492131
9630317391,009.830.438-09,43d96173-80da-4d80-85a6-da4e60ff4ecf,Kevin Howell,1949-03-08,44,M,ernestclark@example.com,51,+1-328-353-9397x2505,51,(763)924-6447x74265,Logradouro:Myers-Richmond,1559,Complemento: Tran LLC,West Joseph,59332322,2024-04-25 15:00:22.492736
3050188895,651.442.599-28,9979bc9c-78a7-4600-92a9-b52775f350e4,Michael Davis,1918-04-06,44,M,washley@example.com,51,655-695-0893x882,51,(626)482-7968x539,Logradouro:Martinez-Duran,4453,Complemento: Rose Ltd,Sandraport,60978910,2024-04-25 15:00:22.493309
2969675582,829.952.517-99,9277240f-4445-4fa5-8e98-13e9ef6955cb,Kathleen Bell,1983-07-05,44,M,amy08@example.org,51,001-503-484-0417,51,+1-423-867-3206x8995,"Logradouro:Gilmore, Powers and Rodriguez",1016,"Complemento: Jackson, Garcia and Cox",North Anthony,59400904,2024-04-25 15:00:22.494038
84580592,146.946.941-38,a748ba5a-b323-451e-923c-929ea8d9d664,Antonio Reynolds,1921-09-05,44,M,pachecosabrina@example.org,51,741-345-3248x4826,51,+1-480-785-8498x9116,"Logradouro:Watson, Harvey and Silva",3579,Complemento: Castro and Sons,New Lisa,18777031,2024-04-25 15:00:22.494626
3805780535,428.163.001-53,ccec95ce-3be5-4328-8343-f280a87ed216,Todd Jones,1930-06-20,44,M,iharris@example.com,51,472-205-6660,51,+1-201-951-8564x7914,Logradouro:Wallace PLC,1670,Complemento: Griffin Ltd,Jonesmouth,16463780,2024-04-25 15:00:22.495079
6367336201,460.598.737-15,ce5d37a2-f0e6-42a9-995e-f2dddc8fc084,Zoe Young,1942-09-04,44,M,jacobgray@example.com,51,(337)554-0822x92548,51,001-317-586-6498,"Logradouro:Campbell, Williams and Mercado",2476,"Complemento: Guzman, Thomas and Mathis",North Jenniferbury,11608307,2024-04-25 15:00:22.495790
5886203162,646.371.767-35,3a40cdab-5659-4c63-9e96-f1dc538e89a7,Gina Obrien,1989-05-09,44,M,jonathanhill@example.net,51,001-770-874-5403x90414,51,899.627.6431x02329,Logradouro:Massey PLC,4683,Complemento: Malone Group,North Craigside,27359364,2024-04-25 15:00:22.496256
1877628944,232.509.973-31,29747b5d-4a03-45f9-b1e1-dabad2e47fde,Diamond Johnson,1991-08-04,44,M,xfisher@example.org,51,3939237125,51,+1-616-590-9859x584,"Logradouro:Sheppard, Stevens and Mcmahon",3507,Complemento: Novak-Graham,Andreaville,18915029,2024-04-25 15:00:22.496859
1994994361,838.931.654-44,1a30825d-bb09-4363-9aba-f4e56f8059d7,Patricia Stevens,1965-02-07,44,M,drodriguez@example.com,51,001-271-274-0058x0556,51,240.860.3722x957,Logradouro:Schmitt-Mcdowell,1900,Complemento: Nelson-Page,Zacharyfort,71448609,2024-04-25 15:00:22.497400
1330057854,838.989.044-58,01efc7f3-c47e-49e1-8daa-891325dee2cc,Mary Powell,2009-08-27,44,M,wdudley@example.net,51,+1-450-619-5993x8023,51,9393343649,Logradouro:Garcia-Webster,2085,Complemento: Jordan and Sons,Carolynstad,76076544,2024-04-25 15:00:22.497876
2570372274,213.969.887-85,fa743375-b691-4002-ab71-a332585779fe,James Bennett,1969-02-09,44,M,tamara06@example.com,51,(438)334-5544,51,001-443-611-6828x970,Logradouro:Stewart Group,3206,"Complemento: Martin, Smith and Norman",North Mitchellbury,65856559,2024-04-25 15:00:22.498419
827866694,472.637.787-69,697da57c-1735-4bc8-9872-dce926bd7c77,Sophia Rodriguez,1987-10-13,44,M,rodriguezjoseph@example.com,51,001-486-391-8336x58429,51,956-323-5518,"Logradouro:Martinez, Allen and Brooks",4949,Complemento: Williamson and Sons,Mejiamouth,74612585,2024-04-25 15:00:22.499033
8844484143,583.586.017-00,de3b0531-243f-4b08-9f36-952b32d159be,Bradley Woodard,1993-08-11,44,M,jamesmurillo@example.net,51,001-308-260-3289x23639,51,001-867-336-1474x4755,Logradouro:Berg-Dawson,1164,"Complemento: Watkins, Garcia and Barnes",Juliehaven,20970772,2024-04-25 15:00:22.499685
