customer_id,customer_cpf,first_name,last_name,birthday,age,shoe_size,email,cellphone,address,address_number,address_complement,town,region,postal_code,country,regsitration_date
1783598303,392.173.504-19,Jill,Patel,1927-02-26,97,42,nicholas75@example.com,(574)263-8781x4427,Address: Brown,29921,Complemento: Curry-Mclean,Scottfort,RS,80110953,Brasil,2024-04-25 15:00:43.106141
4220644913,309.632.212-05,Trevor,Torres,1935-04-11,89,42,rebecca28@example.com,+1-781-382-4980x12160,Address: Osborn,96536,Complemento: Bentley Ltd,Payneshire,RS,47751328,Brasil,2024-04-25 15:00:43.106632
5469008971,362.902.819-50,Cynthia,Wood,1987-09-28,36,42,samantha60@example.com,+1-403-543-8275,Address: Simpson,1390,Complemento: Ferguson Ltd,Goodmanborough,RS,96443528,Brasil,2024-04-25 15:00:43.107097
7282190524,630.392.954-03,Lisa,Kennedy,1992-05-27,31,42,mmccarthy@example.net,575.496.2996x83695,Address: Potter,65500,"Complemento: Watts, Taylor and Garcia",East Henry,RS,49016316,Brasil,2024-04-25 15:00:43.107708
5501416647,576.193.914-28,Jennifer,Robles,1931-06-01,92,42,romerokevin@example.com,001-306-269-9705x07980,Address: Martinez,785,"Complemento: Powell, Gonzalez and Allen",Lisabury,RS,56825829,Brasil,2024-04-25 15:00:43.108370
4400976616,827.084.970-73,Eugene,Clay,1975-09-18,48,42,jacobharper@example.com,(444)349-5965x75128,Address: Stein,53982,Complemento: Mendoza-Tate,South Kathleen,RS,61347488,Brasil,2024-04-25 15:00:43.108958
5458110987,047.639.492-92,Angel,Nelson,1918-03-25,106,42,jason64@example.org,9583469503,Address: Kramer,53928,Complemento: Contreras Ltd,Johnsonstad,RS,71908306,Brasil,2024-04-25 15:00:43.109427
7247692802,968.925.204-64,Juan,Faulkner,1982-05-30,41,42,kylelyons@example.com,001-486-872-9332x42974,Address: Baxter,6288,"Complemento: Acevedo, Sanchez and Howell",Christopherside,RS,71390566,Brasil,2024-04-25 15:00:43.110093
1224124565,411.932.142-89,Michael,Watson,2021-06-26,2,42,melissapaul@example.com,001-977-354-2762,Address: Gibbs,68817,Complemento: Nelson-Robles,Lake Roberto,RS,14379727,Brasil,2024-04-25 15:00:43.110617
4086919223,534.422.072-31,Curtis,Gould,2006-09-29,17,42,zthompson@example.net,001-257-637-4402,Address: Martinez,89726,"Complemento: Moore, Wilson and Ramos",Erinborough,RS,33892651,Brasil,2024-04-25 15:00:43.111174
