clien_ido,clien_cnpjcpf,clien_email,clien_nome,clien_endereco,clien_numero,clien_complemento,clien_datanascimento,clien_sexo,clien_calce,clien_fone_numero,clien_cidade,clien_cep,clien_uf,clien_dataalteracao
3908677048,336.680.829-28,ssmith@example.com,Bradley Hansen,"Endereco: Hardy, Gates and Benitez",1221,Complemento: Johnson Ltd,1987-03-23,F,42,(223)464-3006,Lake Dawnside,43165025,RS,2024-04-25 15:00:51.359223
10133537922,854.131.854-05,kellycassidy@example.net,Daniel Roberts,Endereco: Martin-Flores,314,Complemento: Mullins PLC,2023-07-04,F,42,679.213.3421x24932,Stephensborough,36584168,RS,2024-04-25 15:00:51.361132
1410685247,990.031.834-06,jenniferjohnson@example.com,Charles Smith,"Endereco: Jones, Stevens and Mack",2713,Complemento: Tanner-Pennington,1921-03-06,F,42,(826)607-0802,Derekchester,83798492,RS,2024-04-25 15:00:51.362906
5167487901,569.306.073-04,jmccall@example.org,Christie Solis,"Endereco: Foster, Howard and Jones",894,Complemento: Wheeler LLC,1924-05-13,F,42,001-416-712-1139,Lake Michael,71928838,RS,2024-04-25 15:00:51.364137
7539141329,619.381.248-20,adam71@example.org,Lori Huff,Endereco: Hayes-Kerr,1516,Complemento: Davis Inc,1962-10-07,F,42,573.726.7535x2536,Heatherport,45950915,RS,2024-04-25 15:00:51.365080
3939063604,999.226.303-20,brockmegan@example.org,Kim Adams,Endereco: Ellison-Martin,1199,"Complemento: Poole, Flynn and Castillo",1939-09-11,F,42,7339842963,Moorechester,75013497,RS,2024-04-25 15:00:51.366474
4417785011,471.717.097-01,bmartinez@example.org,Jose Lopez,Endereco: Black Inc,4602,Complemento: Hahn Group,2020-02-01,F,42,493-973-1564x9148,Murrayshire,71022685,RS,2024-04-25 15:00:51.367337
928857396,073.442.767-04,mschultz@example.org,Teresa Livingston,Endereco: Long and Sons,3220,"Complemento: Hurley, Bailey and Holder",1939-05-03,F,42,+1-948-454-4974x58654,Mccarthyberg,51969337,RS,2024-04-25 15:00:51.368401
6202661189,319.889.246-50,wstokes@example.org,Maureen Hatfield,"Endereco: Silva, Boyle and Patterson",3870,"Complemento: Bailey, Reynolds and Baker",2022-03-04,F,42,001-941-366-7868x727,Brendahaven,61381412,RS,2024-04-25 15:00:51.369674
8609410592,426.956.392-36,andreacurtis@example.org,Christine Kennedy,Endereco: Garrison-Brown,4132,Complemento: Mckinney Inc,1926-09-16,F,42,(228)735-3080x687,Danielleside,41886944,RS,2024-04-25 15:00:51.370664
4650397013,503.702.171-52,kking@example.org,Sherry Lawrence,Endereco: Cobb Ltd,732,Complemento: Obrien-Hall,1990-04-14,F,42,(308)540-9979,Port Jesse,23190118,RS,2024-04-25 15:00:51.371565
1319845214,730.452.193-73,nsanders@example.org,Brian Mccarthy,Endereco: King-Jimenez,152,"Complemento: Glenn, Cox and Parks",2001-02-21,F,42,796.424.5995,East Angelastad,93794409,RS,2024-04-25 15:00:51.372727
6588578118,468.191.452-50,michael60@example.org,Chad Brady,"Endereco: Richmond, Lozano and Cole",3093,Complemento: Wallace LLC,1917-06-27,F,42,(970)856-5236x24626,Calderonchester,99429754,RS,2024-04-25 15:00:51.373701
7458708767,953.222.540-48,velasquezpatricia@example.org,Ashley Kelly,Endereco: Riley and Sons,3637,Complemento: Jackson and Sons,1996-08-31,F,42,001-510-597-2755x5581,Randyton,25726415,RS,2024-04-25 15:00:51.374434
4946464603,788.382.467-85,matthew31@example.com,Kristen Black,Endereco: Nelson-Phillips,4306,Complemento: Perez and Sons,1952-06-24,F,42,809-357-7976x330,South Ginaland,13067867,RS,2024-04-25 15:00:51.375144
9054364453,081.192.973-69,justinallen@example.com,Angela Gonzales,"Endereco: Lewis, Martinez and Scott",3147,"Complemento: Conner, Neal and Palmer",2023-12-04,F,42,(888)362-9164,Reynoldsbury,42459235,RS,2024-04-25 15:00:51.376276
3806535542,101.718.680-48,barnettjoshua@example.net,Belinda Wright,Endereco: Figueroa-Carter,1650,Complemento: Morales PLC,1944-04-27,F,42,(985)858-2191,East Tinashire,68307792,RS,2024-04-25 15:00:51.377095
568655064,063.476.742-97,alyssa90@example.com,Stacy Brown,Endereco: Evans-Morgan,4148,Complemento: Lane LLC,1959-03-24,F,42,(373)652-2662x5877,Sheilaburgh,25813194,RS,2024-04-25 15:00:51.377814
5843568526,393.264.638-00,adelgado@example.com,Tanya Cunningham,"Endereco: Lane, Martinez and Phillips",4578,Complemento: Simpson-Horne,2013-03-24,F,42,(935)546-1290,East Taylorview,30441450,RS,2024-04-25 15:00:51.378756
10012206395,619.980.279-96,kendrabarnes@example.net,Nathaniel Rodriguez,Endereco: Scott LLC,1326,"Complemento: Contreras, Phillips and Ray",1948-05-12,F,42,7118106985,Lake Luke,28657110,RS,2024-04-25 15:00:51.379632
90129185,589.345.848-66,wendycollins@example.net,Christopher Schwartz,"Endereco: Cooper, Hudson and Harper",1804,Complemento: Booth-Luna,1965-12-16,F,42,001-990-628-6964x6227,Colefort,58423337,RS,2024-04-25 15:00:51.380607
10792792338,788.364.711-37,chendavid@example.com,David Archer,Endereco: Martin-Garcia,4310,Complemento: Brown-Jackson,1964-04-29,F,42,001-273-755-1900x242,Carterstad,79765731,RS,2024-04-25 15:00:51.381514
9685310688,931.612.148-54,jamesrichards@example.net,Robert Lee,Endereco: Sampson Ltd,3646,"Complemento: Miller, Barnett and Blanchard",1983-03-24,F,42,3052538323,Gillespieberg,95592711,RS,2024-04-25 15:00:51.382429
881009925,614.836.068-30,smithdennis@example.net,Andrea Shelton,"Endereco: Hale, Bell and Stephens",4787,Complemento: Jones LLC,1977-07-13,F,42,(927)792-9495x8054,Bryantside,87602812,RS,2024-04-25 15:00:51.383350
2803093130,908.286.007-40,qsmith@example.org,Christian Moreno,Endereco: Peters PLC,883,"Complemento: Austin, Brown and Cooper",1963-04-06,F,42,+1-526-833-8207x4903,Fischerville,86152324,RS,2024-04-25 15:00:51.384070
4014296221,248.668.216-39,carolyn12@example.com,Russell Lopez,Endereco: Howard Inc,787,Complemento: Thomas-Davila,1949-05-16,F,42,001-835-417-7413,Stephenmouth,48098927,RS,2024-04-25 15:00:51.384678
6594712374,346.449.957-03,juan74@example.net,Dale Riggs,Endereco: Dillon-Esparza,2103,Complemento: Hernandez-Koch,1936-11-13,F,42,437-238-9540,West Michaelton,65596551,RS,2024-04-25 15:00:51.385345
6455999712,626.020.932-03,david52@example.net,Dawn Schmidt,"Endereco: Klein, Brewer and Vasquez",30,"Complemento: Campbell, Harvey and Rivera",2016-03-06,F,42,748.207.0008,New Shannon,26607940,RS,2024-04-25 15:00:51.386201
10385197042,964.688.103-37,mccallshannon@example.net,Anthony Rice,Endereco: Perkins Ltd,4042,"Complemento: Oneill, Hudson and Finley",2015-01-14,F,42,(274)223-3009x93450,Jamesfurt,62806997,RS,2024-04-25 15:00:51.386975
1529724773,549.508.388-14,jessica58@example.org,Ashley Rivera,Endereco: Clarke PLC,2951,"Complemento: Huber, Alvarez and Rogers",1974-07-22,F,42,8665114053,Kellyberg,94970514,RS,2024-04-25 15:00:51.387648
9707797956,252.048.443-84,ricetrevor@example.org,Catherine Hess,Endereco: Rodriguez-Sanchez,1512,Complemento: Williams LLC,1944-05-11,F,42,+1-460-466-0846x38958,Jimenezside,32699800,RS,2024-04-25 15:00:51.388350
7589828133,000.625.980-40,elizabethhoward@example.net,Nathan Henry,Endereco: Stewart-Jones,911,Complemento: Garza-Tran,1921-07-01,F,42,(522)390-1150,Kathleenmouth,24702215,RS,2024-04-25 15:00:51.389122
521898009,261.257.001-27,hickssean@example.org,Kathleen Stewart,"Endereco: Campbell, Cooley and Rodriguez",3772,Complemento: Green-Crawford,1995-12-23,F,42,(368)602-1699,Nicoleburgh,26769357,RS,2024-04-25 15:00:51.389958
3275106297,389.046.089-53,patrick70@example.net,Eric Trujillo,Endereco: Sanchez-Clark,3784,Complemento: Wise and Sons,1957-05-03,F,42,667.496.7030x10410,New Ruthburgh,49904796,RS,2024-04-25 15:00:51.390567
10993852737,544.692.369-34,richard72@example.net,Albert Hunt,Endereco: Torres-Carr,1297,Complemento: Mitchell Ltd,2004-11-15,F,42,001-548-674-0420,Gabrielaview,46192882,RS,2024-04-25 15:00:51.391151
